Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"145,535,097","22,195,557,643.47",11.300,Apple Inc,Common Stock,Information Technology,09/01/2021
QQQ,594918104,MSFT ,"65,683,935","19,825,382,101.05",10.093,Microsoft Corp,Common Stock,Information Technology,09/01/2021
QQQ,023135106,AMZN ,"4,398,353","15,301,870,087.00",7.790,Amazon.com Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,02079K107,GOOG ,"2,821,970","8,231,234,974.80",4.191,Alphabet Inc,Common Stock,Communication Services,09/01/2021
QQQ,30303M102,FB ,"20,896,222","7,983,401,615.10",4.064,Facebook Inc,Common Stock,Communication Services,09/01/2021
QQQ,88160R101,TSLA ,"10,396,898","7,632,258,852.82",3.886,Tesla Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,02079K305,GOOGL ,"2,622,892","7,617,691,464.52",3.878,Alphabet Inc,Common Stock,Communication Services,09/01/2021
QQQ,67066G104,NVDA ,"33,071,655","7,421,610,098.55",3.778,NVIDIA Corp,Common Stock,Information Technology,09/01/2021
QQQ,70450Y103,PYPL ,"15,590,032","4,470,441,676.00",2.276,PayPal Holdings Inc,Common Stock,Information Technology,09/01/2021
QQQ,00724F101,ADBE ,"6,343,622","4,224,154,453.58",2.151,Adobe Inc,Common Stock,Information Technology,09/01/2021
QQQ,20030N101,CMCSA ,"60,846,024","3,720,125,907.36",1.894,Comcast Corp,Common Stock,Communication Services,09/01/2021
QQQ,64110L106,NFLX ,"5,884,364","3,425,111,753.48",1.744,Netflix Inc,Common Stock,Communication Services,09/01/2021
QQQ,17275R102,CSCO ,"55,927,214","3,301,942,714.56",1.681,Cisco Systems Inc/Delaware,Common Stock,Information Technology,09/01/2021
QQQ,713448108,PEP ,"18,335,725","2,895,394,334.75",1.474,PepsiCo Inc,Common Stock,Consumer Staples,09/01/2021
QQQ,458140100,INTC ,"53,588,836","2,876,112,828.12",1.464,Intel Corp,Common Stock,Information Technology,09/01/2021
QQQ,22160K105,COST ,"5,872,855","2,681,075,764.60",1.365,Costco Wholesale Corp,Common Stock,Consumer Staples,09/01/2021
QQQ,11135F101,AVGO ,"5,418,557","2,672,215,570.12",1.360,Broadcom Inc,Common Stock,Information Technology,09/01/2021
QQQ,882508104,TXN ,"12,256,186","2,308,452,633.10",1.175,Texas Instruments Inc,Common Stock,Information Technology,09/01/2021
QQQ,872590104,TMUS ,"16,547,150","2,279,204,441.00",1.160,T-Mobile US Inc,Common Stock,Communication Services,09/01/2021
QQQ,747525103,QCOM ,"14,969,900","2,192,341,855.00",1.116,QUALCOMM Inc,Common Stock,Information Technology,09/01/2021
QQQ,438516106,HON ,"9,217,538","2,118,190,232.40",1.078,Honeywell International Inc,Common Stock,Industrials,09/01/2021
QQQ,60770K107,MRNA ,"5,328,795","2,077,910,322.30",1.058,Moderna Inc,Common Stock,Health Care,09/01/2021
QQQ,16119P108,CHTR ,"2,503,750","2,049,169,150.00",1.043,Charter Communications Inc,Common Stock,Communication Services,09/01/2021
QQQ,461202103,INTU ,"3,626,473","2,042,175,740.49",1.040,Intuit Inc,Common Stock,Information Technology,09/01/2021
QQQ,855244109,SBUX ,"15,637,319","1,836,603,116.55",0.935,Starbucks Corp,Common Stock,Consumer Discretionary,09/01/2021
QQQ,007903107,AMD ,"16,124,617","1,773,546,623.83",0.903,Advanced Micro Devices Inc,Common Stock,Information Technology,09/01/2021
QQQ,031162100,AMGN ,"7,625,002","1,703,044,196.70",0.867,Amgen Inc,Common Stock,Health Care,09/01/2021
QQQ,46120E602,ISRG ,"1,571,459","1,670,005,193.89",0.850,Intuitive Surgical Inc,Common Stock,Health Care,09/01/2021
QQQ,038222105,AMAT ,"12,129,598","1,618,816,149.08",0.824,Applied Materials Inc,Common Stock,Information Technology,09/01/2021
QQQ,58733R102,MELI ,"661,592","1,254,715,843.92",0.639,MercadoLibre Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,09857L108,BKNG ,"544,872","1,246,040,533.20",0.634,Booking Holdings Inc,Common Stock,Consumer Discretionary,09/01/2021
QQQ,375558103,GILD ,"16,644,418","1,196,234,321.66",0.609,Gilead Sciences Inc,Common Stock,Health Care,09/01/2021
QQQ,053015103,ADP ,"5,647,099","1,168,158,899.14",0.595,Automatic Data Processing Inc,Common Stock,Information Technology,09/01/2021
QQQ,609207105,MDLZ ,"18,642,098","1,161,961,968.34",0.592,Mondelez International Inc,Common Stock,Consumer Staples,09/01/2021
QQQ,512807108,LRCX ,"1,892,689","1,135,197,008.42",0.578,Lam Research Corp,Common Stock,Information Technology,09/01/2021
QQQ,595112103,MU ,"14,882,409","1,097,131,191.48",0.559,Micron Technology Inc,Common Stock,Information Technology,09/01/2021
QQQ,337738108,FISV ,"8,848,720","1,047,157,524.80",0.533,Fiserv Inc,Common Stock,Information Technology,09/01/2021
QQQ,126408103,CSX ,"30,154,641","981,232,018.14",0.500,CSX Corp,Common Stock,Industrials,09/01/2021
QQQ,75886F107,REGN ,"1,389,324","946,074,071.04",0.482,Regeneron Pharmaceuticals Inc,Common Stock,Health Care,09/01/2021
QQQ,98980L101,ZM ,"3,135,551","912,006,363.86",0.464,Zoom Video Communications Inc,Common Stock,Information Technology,09/01/2021
QQQ,452327109,ILMN ,"1,937,580","897,138,291.60",0.457,Illumina Inc,Common Stock,Health Care,09/01/2021
QQQ,N07059210,ASML ,"1,054,404","887,987,416.68",0.452,ASML Holding NV,American Depository Receipt - NY,Information Technology,09/01/2021
QQQ,052769106,ADSK ,"2,920,561","885,630,917.64",0.451,Autodesk Inc,Common Stock,Information Technology,09/01/2021
QQQ,47215P106,JD ,"10,694,540","863,904,941.20",0.440,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,09/01/2021
